timestamp,phrase,hey_jarvis
2026-06-18T13:13:59.173+00:00,,0.0000
2026-06-18T13:13:59.257+00:00,,0.0000
2026-06-18T13:13:59.336+00:00,,0.0000
2026-06-18T13:13:59.418+00:00,,0.0000
2026-06-18T13:13:59.495+00:00,,0.0000
2026-06-18T13:13:59.579+00:00,,0.5146
2026-06-18T13:13:59.656+00:00,,0.5417
2026-06-18T13:13:59.736+00:00,,0.5577
2026-06-18T13:13:59.815+00:00,,0.5754
2026-06-18T13:13:59.896+00:00,,0.6032
2026-06-18T13:13:59.976+00:00,,0.6241
2026-06-18T13:14:00.056+00:00,,0.6462
2026-06-18T13:14:00.137+00:00,,0.6697
2026-06-18T13:14:00.216+00:00,,0.6935
2026-06-18T13:14:00.299+00:00,,0.7086
2026-06-18T13:14:00.375+00:00,,0.6981
2026-06-18T13:14:00.458+00:00,,0.6883
2026-06-18T13:14:00.538+00:00,,0.6914
2026-06-18T13:14:00.615+00:00,,0.6841
2026-06-18T13:14:00.699+00:00,,0.6612
2026-06-18T13:14:00.778+00:00,,0.6209
2026-06-18T13:14:00.858+00:00,,0.5758
2026-06-18T13:14:00.939+00:00,,0.5564
2026-06-18T13:14:01.019+00:00,,0.5505
2026-06-18T13:14:01.099+00:00,,0.5583
2026-06-18T13:14:01.178+00:00,,0.5647
2026-06-18T13:14:01.259+00:00,,0.5774
2026-06-18T13:14:01.336+00:00,,0.5699
2026-06-18T13:14:01.419+00:00,,0.5374
2026-06-18T13:14:01.498+00:00,,0.4982
2026-06-18T13:14:01.577+00:00,,0.4529
2026-06-18T13:14:01.659+00:00,,0.4398
2026-06-18T13:14:01.739+00:00,,0.4380
2026-06-18T13:14:01.819+00:00,,0.4551
2026-06-18T13:14:01.898+00:00,,0.5001
2026-06-18T13:14:01.978+00:00,,0.5396
2026-06-18T13:14:02.059+00:00,,0.5829
2026-06-18T13:14:02.137+00:00,,0.6229
2026-06-18T13:14:02.219+00:00,,0.6603
2026-06-18T13:14:02.299+00:00,,0.6933
2026-06-18T13:14:02.378+00:00,,0.7310
2026-06-18T13:14:02.459+00:00,hey_jarvis,0.7634
2026-06-18T13:14:02.537+00:00,hey_jarvis,0.7849
2026-06-18T13:14:02.619+00:00,hey_jarvis,0.8027
2026-06-18T13:14:02.697+00:00,hey_jarvis,0.8064
2026-06-18T13:14:02.778+00:00,hey_jarvis,0.8051
2026-06-18T13:14:02.858+00:00,hey_jarvis,0.8151
2026-06-18T13:14:02.938+00:00,hey_jarvis,0.8298
2026-06-18T13:14:03.020+00:00,hey_jarvis,0.8401
2026-06-18T13:14:03.097+00:00,hey_jarvis,0.8401
2026-06-18T13:14:03.178+00:00,hey_jarvis,0.8074
2026-06-18T13:14:03.258+00:00,,0.7376
2026-06-18T13:14:03.337+00:00,,0.6119
2026-06-18T13:14:03.418+00:00,,0.4851
2026-06-18T13:14:03.496+00:00,,0.4025
2026-06-18T13:14:03.578+00:00,,0.3565
2026-06-18T13:14:03.659+00:00,,0.3519
2026-06-18T13:14:03.739+00:00,,0.3833
2026-06-18T13:14:03.818+00:00,,0.4378
2026-06-18T13:14:03.900+00:00,,0.4911
2026-06-18T13:14:03.980+00:00,,0.5432
2026-06-18T13:14:04.059+00:00,,0.5942
2026-06-18T13:14:04.139+00:00,,0.6316
2026-06-18T13:14:04.219+00:00,,0.6450
2026-06-18T13:14:04.299+00:00,,0.6569
2026-06-18T13:14:04.380+00:00,,0.6598
2026-06-18T13:14:04.460+00:00,,0.6522
2026-06-18T13:14:04.537+00:00,,0.6333
2026-06-18T13:14:04.620+00:00,,0.5903
2026-06-18T13:14:04.701+00:00,,0.5214
2026-06-18T13:14:04.780+00:00,,0.4707
2026-06-18T13:14:04.861+00:00,,0.4343
2026-06-18T13:14:04.942+00:00,,0.4288
2026-06-18T13:14:05.022+00:00,,0.4362
2026-06-18T13:14:05.101+00:00,,0.4327
2026-06-18T13:14:05.181+00:00,,0.4228
2026-06-18T13:14:05.262+00:00,,0.3913
2026-06-18T13:14:05.342+00:00,,0.3717
2026-06-18T13:14:05.419+00:00,,0.3578
2026-06-18T13:14:05.499+00:00,,0.3562
2026-06-18T13:14:05.578+00:00,,0.3720
2026-06-18T13:14:05.658+00:00,,0.3959
2026-06-18T13:14:05.741+00:00,,0.4208
2026-06-18T13:14:05.818+00:00,,0.4479
2026-06-18T13:14:05.902+00:00,,0.4915
2026-06-18T13:14:05.981+00:00,,0.5204
2026-06-18T13:14:06.063+00:00,,0.5637
2026-06-18T13:14:06.141+00:00,,0.6052
2026-06-18T13:14:06.222+00:00,,0.6538
2026-06-18T13:14:06.300+00:00,,0.6736
2026-06-18T13:14:06.381+00:00,,0.6957
2026-06-18T13:14:06.462+00:00,,0.7317
2026-06-18T13:14:06.541+00:00,,0.7376
2026-06-18T13:14:06.622+00:00,,0.7250
2026-06-18T13:14:06.702+00:00,,0.6663
2026-06-18T13:14:06.779+00:00,,0.5839
2026-06-18T13:14:06.863+00:00,,0.5158
2026-06-18T13:14:06.943+00:00,,0.4911
2026-06-18T13:14:07.022+00:00,,0.5281
2026-06-18T13:14:07.099+00:00,,0.5708
2026-06-18T13:14:07.181+00:00,,0.6239
2026-06-18T13:14:07.258+00:00,,0.6920
2026-06-18T13:14:07.342+00:00,hey_jarvis,0.7525
2026-06-18T13:14:07.422+00:00,hey_jarvis,0.7944
2026-06-18T13:14:07.503+00:00,hey_jarvis,0.8171
2026-06-18T13:14:07.580+00:00,hey_jarvis,0.8336
2026-06-18T13:14:07.661+00:00,hey_jarvis,0.8277
2026-06-18T13:14:07.741+00:00,hey_jarvis,0.7966
2026-06-18T13:14:07.821+00:00,,0.7480
2026-06-18T13:14:07.901+00:00,,0.6696
2026-06-18T13:14:07.980+00:00,,0.6251
2026-06-18T13:14:08.062+00:00,,0.6193
2026-06-18T13:14:08.142+00:00,,0.6595
2026-06-18T13:14:08.221+00:00,,0.7277
2026-06-18T13:14:08.301+00:00,hey_jarvis,0.7783
2026-06-18T13:14:08.382+00:00,hey_jarvis,0.8113
2026-06-18T13:14:08.458+00:00,hey_jarvis,0.8257
2026-06-18T13:14:08.539+00:00,hey_jarvis,0.8274
2026-06-18T13:14:08.620+00:00,hey_jarvis,0.8184
2026-06-18T13:14:08.697+00:00,hey_jarvis,0.8229
2026-06-18T13:14:08.781+00:00,hey_jarvis,0.8252
2026-06-18T13:14:08.858+00:00,hey_jarvis,0.7964
2026-06-18T13:14:08.937+00:00,,0.7417
2026-06-18T13:14:09.017+00:00,,0.6588
2026-06-18T13:14:09.098+00:00,,0.5611
2026-06-18T13:14:09.177+00:00,,0.4779
2026-06-18T13:14:09.258+00:00,,0.4375
2026-06-18T13:14:09.339+00:00,,0.4362
2026-06-18T13:14:09.418+00:00,,0.4502
2026-06-18T13:14:09.500+00:00,,0.4683
2026-06-18T13:14:09.581+00:00,,0.4845
2026-06-18T13:14:09.658+00:00,,0.4959
2026-06-18T13:14:09.740+00:00,,0.5018
2026-06-18T13:14:09.819+00:00,,0.5230
2026-06-18T13:14:09.900+00:00,,0.5472
2026-06-18T13:14:09.980+00:00,,0.5782
2026-06-18T13:14:10.061+00:00,,0.5929
2026-06-18T13:14:10.141+00:00,,0.5797
2026-06-18T13:14:10.217+00:00,,0.5719
2026-06-18T13:14:10.299+00:00,,0.5082
2026-06-18T13:14:10.377+00:00,,0.4494
2026-06-18T13:14:10.462+00:00,,0.4189
2026-06-18T13:14:10.541+00:00,,0.4000
2026-06-18T13:14:10.622+00:00,,0.3921
2026-06-18T13:14:10.702+00:00,,0.4017
2026-06-18T13:14:10.781+00:00,,0.4120
2026-06-18T13:14:10.862+00:00,,0.4136
2026-06-18T13:14:10.942+00:00,,0.4197
2026-06-18T13:14:11.022+00:00,,0.4450
2026-06-18T13:14:11.100+00:00,,0.4570
2026-06-18T13:14:11.178+00:00,,0.4851
2026-06-18T13:14:11.263+00:00,,0.5076
2026-06-18T13:14:11.343+00:00,,0.5303
2026-06-18T13:14:11.420+00:00,,0.5570
2026-06-18T13:14:11.498+00:00,,0.5551
2026-06-18T13:14:11.582+00:00,,0.5146
2026-06-18T13:14:11.662+00:00,,0.4615
2026-06-18T13:14:11.739+00:00,,0.4425
2026-06-18T13:14:11.819+00:00,,0.4474
2026-06-18T13:14:11.901+00:00,,0.4529
2026-06-18T13:14:11.979+00:00,,0.4697
2026-06-18T13:14:12.061+00:00,,0.4777
2026-06-18T13:14:12.139+00:00,,0.4859
2026-06-18T13:14:12.222+00:00,,0.4866
2026-06-18T13:14:12.301+00:00,,0.4960
2026-06-18T13:14:12.382+00:00,,0.5113
2026-06-18T13:14:12.457+00:00,,0.5243
2026-06-18T13:14:12.541+00:00,,0.5401
2026-06-18T13:14:12.622+00:00,,0.5293
2026-06-18T13:14:12.701+00:00,,0.5224
2026-06-18T13:14:12.782+00:00,,0.5578
2026-06-18T13:14:12.861+00:00,,0.6000
2026-06-18T13:14:12.941+00:00,,0.6659
2026-06-18T13:14:13.022+00:00,,0.6983
2026-06-18T13:14:13.103+00:00,,0.6662
2026-06-18T13:14:13.181+00:00,,0.6173
2026-06-18T13:14:13.263+00:00,,0.5800
2026-06-18T13:14:13.341+00:00,,0.5653
2026-06-18T13:14:13.421+00:00,,0.5750
2026-06-18T13:14:13.503+00:00,,0.6036
2026-06-18T13:14:13.581+00:00,,0.6580
2026-06-18T13:14:13.660+00:00,,0.7227
2026-06-18T13:14:13.742+00:00,hey_jarvis,0.7734
2026-06-18T13:14:13.822+00:00,hey_jarvis,0.8012
2026-06-18T13:14:13.901+00:00,hey_jarvis,0.8268
2026-06-18T13:14:13.982+00:00,hey_jarvis,0.8464
2026-06-18T13:14:14.061+00:00,hey_jarvis,0.8437
2026-06-18T13:14:14.141+00:00,hey_jarvis,0.8400
2026-06-18T13:14:14.222+00:00,hey_jarvis,0.8165
2026-06-18T13:14:14.297+00:00,hey_jarvis,0.7696
2026-06-18T13:14:14.382+00:00,,0.6927
2026-06-18T13:14:14.457+00:00,,0.5987
2026-06-18T13:14:14.539+00:00,,0.5282
2026-06-18T13:14:14.619+00:00,,0.4671
2026-06-18T13:14:14.697+00:00,,0.4439
2026-06-18T13:14:14.777+00:00,,0.4447
2026-06-18T13:14:14.865+00:00,,0.4711
2026-06-18T13:14:14.938+00:00,,0.4903
2026-06-18T13:14:15.017+00:00,,0.5098
2026-06-18T13:14:15.098+00:00,,0.5205
2026-06-18T13:14:15.181+00:00,,0.5323
2026-06-18T13:14:15.260+00:00,,0.5635
2026-06-18T13:14:15.341+00:00,,0.6046
2026-06-18T13:14:15.422+00:00,,0.6484
2026-06-18T13:14:15.502+00:00,,0.6869
2026-06-18T13:14:15.579+00:00,,0.7145
2026-06-18T13:14:15.660+00:00,,0.7300
2026-06-18T13:14:15.742+00:00,,0.7214
2026-06-18T13:14:15.822+00:00,,0.7141
